ref_evap;anomes;hora1;hora2;hora3;evapiche;evatanque;temedmax;temedmin;temedsec1;temedhum1;temedsec2;temedhum2;temedsec3;temedhum3;velviento;prectotmes;diasprec;insol
5004;198402;8;;;2.6;2.7;16;3.8;5.8;4.4;;;;;4.7;28;3;
5004;198502;8;;;1.6;1.8;17;6.7;8.8;7.6;;;;;3.8;104;10;
5004;198501;8;;;2.2;2.4;13.3;2.7;5.4;4.1;;;;;4.1;220;10;
5004;198412;8;;;2.1;2.3;16.1;6.4;8.6;7.3;;;;;2.9;31.6;8;
5004;198411;8;;;2.1;2.2;17.8;8.1;10.2;8.8;;;;;4.8;238;15;
5004;198410;8;;;4.4;4.5;24.3;10.5;12.2;10.8;;;;;3.7;43.7;5;
5004;198409;8;;;6.8;6.9;31.2;14.8;16.4;14.9;;;;;3.5;0.5;1;
5004;198408;8;;;8;8.1;39.9;17.1;18.6;17.2;;;;;3.8;;;
5004;198407;8;;;8.7;8.9;35;17;18.7;17.3;;;;;3.5;;;
5004;198406;8;;;4.9;5.1;27;12.5;14.4;13.1;;;;;3.7;52;4;
5004;198405;8;;;2.8;2.8;19.6;8.1;10;8.6;;;;;4.7;84;12;
5004;197810;7;;;3.8;4;25.3;11.7;12.8;11.8;;;;;1.5;44.4;5;203
5004;198403;8;;;3;3.1;15.9;5;7.2;5.8;;;;;4.5;131;9;
5004;198505;8;;;3.7;3.8;22.6;9.6;11.2;9.7;;;;;4;11.5;4;
5004;198401;8;;;1.9;2;14.6;4.2;6.8;5.4;;;;;3.3;13;4;
5004;198312;8;;;1.9;2;16.8;5.8;7.8;6.4;;;;;3.7;116.8;7;
5004;198311;8;;;1.4;1.8;19.1;10.9;12.7;11.4;;;;;3.5;380;18;
5004;198310;8;;;5.1;5.8;27.7;12.9;14.8;13.4;;;;;3.8;32.5;4;
5004;198309;8;;;7.7;8.1;33.7;16.9;18.8;17.1;;;;;4.6;11;1;
5004;198308;8;;;7.4;7.6;32.5;17;18.4;16.8;;;;;4.4;;;
5004;198307;8;;;7.3;7.5;32;15.1;16.6;15.2;;;;;4.4;;;
5004;198306;8;;;7.6;7.8;31.2;15;16.5;15.1;;;;;4.2;24;2;
5004;198305;8;;;4.6;4.8;23.3;8.9;10.8;9.5;;;;;4.7;18.6;4;
5004;198304;8;;;4.5;4.6;20.3;7.4;9.5;8.1;;;;;5.2;80;10;
5004;198404;8;;;3.4;3.6;21.5;10.4;11.4;10.1;;;;;4.2;135;8;
5004;198604;8;;;2.8;2.9;17.1;5.1;7.1;5.6;;;;;3.5;35.6;10;
5004;198704;7;;;3.6;3.6;22.2;8.7;10.6;9;;;;;2.5;44.1;8;
5004;198703;7;;;3.4;3.5;21.5;7.1;8.7;7.2;;;;;2.1;17.1;2;
5004;198702;7;;;1.9;2;15.5;4.8;6.9;5.3;;;;;2.5;86.3;13;
5004;198701;7;;;1.9;2;14.5;3.3;5.2;3.9;;;;;2.9;204.3;12;
